JOB-ID,HOST-ID,DC-ID,JOB-COMPLETION-TIME,CI-SELECTED-FOR-JOB,,CONTAINER-ID,CONTAINER-HOST-ID,CONTAINER-BUSY-POWER,IDLE-OF-HOST,CONTAINER-START-TIME,CONTAINER-END-TIME,CONTAINER-ACTIVE-TIME,,CONTAINER-FAILED-ID
0,18,8,210.67798996129702,279.48,,0,18,27.270000000000003,60.0,1.022979113,210.67798996129702,209.6550108,,1
1,21,9,121.54201091992567,279.48,,1,21,27.135,60.0,1.023016071,121.54201091992567,120.5189948,,2
2,22,9,7281.266802901926,279.48,,2,22,21.708,60.0,1.023188108,11473.708306222712,11472.68512,,3
3,19,8,209.5444140009901,279.48,,3,19,21.6,60.0,1.023286991,209.5444140009901,208.521127,,4
4,20,8,131.86565207389162,279.48,,4,20,22.8375,75.0,1.023377897,131.86565207389162,130.8422742,,5
5,23,9,104.7658915169406,279.48,,5,23,22.724999999999998,75.0,1.023631021,104.7658915169406,103.7422605,,6
6,21,9,153.9549848586207,279.48,,6,21,27.405,60.0,1.023633066,153.9549848586207,152.9313518,,7
7,18,8,11010.35909154931,279.48,,7,18,27.54,60.0,1.023769955,11609.922817039505,11608.89905,,8
8,22,9,929.5731472035811,279.48,,8,22,21.816,60.0,1.06350396,929.5731472035811,928.5096432,,9
9,19,8,137.70788807236096,279.48,,9,19,21.708,60.0,1.074941019,137.70788807236096,136.6329471,,10
10,23,9,102.50227810447761,279.48,,10,23,22.6125,75.0,1.171832111,102.50227810447761,101.330446,,11
11,20,8,60.0726911,279.48,,11,20,22.5,75.0,1.175120001,60.0726911,58.8975711,,12
12,18,8,95.79682903103449,279.48,,12,18,27.405,60.0,1.190778889,95.79682903103449,94.60605014,,13
13,21,9,38292.717996127714,279.48,,13,21,27.270000000000003,60.0,16.338099,38292.717996127714,38276.3799,,14
14,22,9,15427.214856585519,279.48,,14,22,21.816,60.0,16.34305191,40671.95561989009,40655.61257,,15
15,19,8,23127.10737585925,279.48,,15,19,21.816,60.0,16.343055,33929.02219052574,33912.67914,,16
16,23,9,61964.61061178218,279.48,,16,23,22.724999999999998,75.0,16.343737,64676.00775116832,64659.66401,,17
17,20,8,384.105462109901,279.48,,17,20,22.724999999999998,75.0,16.34399311,31850.027113920787,31833.68312,,18
18,21,9,383.43314217821785,279.48,,18,21,27.270000000000003,60.0,16.3457189,62830.80512313862,62814.4594,,19
19,22,9,40671.95561989009,279.48,,19,18,27.270000000000003,60.0,16.3462789,66772.12056555445,66755.77429,,20
20,23,9,64676.00775116832,279.48,,20,22,21.816,60.0,16.346628000000003,62906.51799442575,62890.17137,,21
21,21,9,62830.80512313862,279.48,,21,19,21.816,60.0,16.3526061,50121.97205070297,50105.61944,,22
22,18,8,66391.98690218812,279.48,,22,23,22.724999999999998,75.0,16.3531941,62591.230865712874,62574.87767,,23
23,22,9,62906.51799442575,279.48,,23,20,22.724999999999998,75.0,61.00167295,73.51751453415841,12.51584158,,24
24,19,8,33929.02219052574,279.48,,24,18,57.71428571428571,2000.0,120.998657,134.5389194006243,13.5402624,,25
25,20,8,31850.027113920787,279.48,,25,21,57.14285714285714,2000.0,121.9205021,135.3205021,13.4,,26
26,18,8,66772.12056555445,279.48,,26,19,47.529411764705884,2000.0,121.9371211,123.35395278316831,1.416831683,,27
27,19,8,50121.97205070297,279.48,,27,20,60.599999999999994,3000.0,181.0054041,201.6027705138614,20.59736641,,28
28,23,9,62591.230865712874,279.48,,28,22,47.529411764705884,2000.0,181.01136,181.39353821782177,0.382178218,,29
29,20,8,73.51751453415841,279.4825,,29,18,57.14285714285714,2000.0,181.0116319,196.2166319,15.205,,30
30,18,8,134.5389194006243,279.4825,,30,19,47.529411764705884,2000.0,241.0014019,254.2600143871287,13.25861249,,31
31,21,9,135.3205021,279.485,,31,20,60.599999999999994,3000.0,241.0162849,241.1212353950495,0.104950495,,32
32,19,8,123.35395278316831,279.485,,32,18,57.14285714285714,2000.0,241.0171431,249.9312353950495,8.914092295,,33
33,20,8,201.6027705138614,279.4875,,33,19,47.294117647058826,2000.0,301.0080409,360.0832961995392,59.0752553,,34
34,22,9,181.39353821782177,279.4875,,34,20,60.9,3000.0,301.0081499,331.70518674680284,30.69703685,,35
35,18,8,196.2166319,279.4875,,35,18,57.71428571428571,2000.0,301.0082071,315.20764980099005,14.1994427,,36
36,19,8,254.2600143871287,279.49,,36,23,60.3,3000.0,301.0082711,14015.788946661984,13714.78068,,37
37,20,8,241.1212353950495,279.49,,37,19,47.529411764705884,2000.0,301.0086399,302.5195309891089,1.510891089,,38
38,18,8,249.9312353950495,279.49,,38,21,58.0,2000.0,301.008965,352.3896368635468,51.38067186,,39
39,19,8,360.0832961995392,279.4925,,39,20,61.2,3000.0,301.0090161,11938.12818724729,11637.11917,,40
40,20,8,331.70518674680284,279.4925,,40,22,47.05882352941176,2000.0,301.0090211,324.7640211,23.755,,41
41,18,8,315.20764980099005,279.4925,,41,18,57.71428571428571,2000.0,361.0153631,376.16486805049504,15.14950495,,42
42,23,9,7272.828991956652,279.4925,,42,19,47.529411764705884,2000.0,420.9941809,440.8371462673268,19.84296537,,43
43,19,8,302.5195309891089,279.4925,,43,20,60.599999999999994,3000.0,421.764473,422.99318587128715,1.228712871,,44
44,21,9,352.3896368635468,279.4925,,44,18,57.14285714285714,2000.0,421.7771479,433.73318587128716,11.95603797,,45
45,20,8,7407.189864156862,279.4925,,45,19,47.529411764705884,2000.0,481.006584,494.54865380099005,13.5420698,,46
46,22,9,324.7640211,279.4925,,46,20,60.599999999999994,3000.0,481.0146439,481.1195943950495,0.104950495,,47
47,18,8,376.16486805049504,279.495,,47,18,57.14285714285714,2000.0,481.01534,491.45459439504947,10.4392544,,48
48,19,8,440.8371462673268,279.495,,48,19,47.529411764705884,2000.0,541.0114471,554.175580851485,13.16413375,,49
49,20,8,422.99318587128715,279.4975,,49,20,60.599999999999994,3000.0,541.027066,541.1320164950495,0.104950495,,50
50,18,8,433.73318587128716,279.4975,,50,18,57.14285714285714,2000.0,541.0276089,550.0320164950494,9.004407595,,51
51,19,8,494.54865380099005,279.5,,51,19,161.6,2000.0,601.0042119,601.1091623950495,0.104950495,,52
52,20,8,481.1195943950495,279.5,,52,20,201.0,3000.0,601.004688,12201.968093467076,11600.96341,,53
53,18,8,491.45459439504947,279.5,,53,18,203.0,2000.0,601.0047369,646.5825417044335,45.5778048,,54
54,19,8,554.175580851485,279.5025,,54,23,201.0,3000.0,601.0047981,611.5028080502487,10.49800995,,55
55,20,8,541.1320164950495,279.5025,,55,19,160.0,2000.0,601.004908,638.050522,37.045614,,56
56,18,8,550.0320164950494,279.5025,,56,21,202.0,2000.0,601.0404099,618.2156793373774,17.17526944,,57
57,19,8,601.1091623950495,279.505,,57,20,201.0,3000.0,601.0429789,674.1636296284759,73.12065073,,58
58,20,8,11852.887991168858,279.505,,58,22,160.8,2000.0,601.0471471,663.7662165105118,62.71906941,,59
59,18,8,646.5825417044335,279.505,,59,19,162.39999999999998,2000.0,601.4926971,612.9178202527094,11.42512315,,60
60,23,9,611.5028080502487,279.505,,60,23,201.99999999999997,3000.0,629.436131,31759.081661870296,31129.64553,,61
61,19,8,638.050522,279.505,,61,20,201.99999999999997,3000.0,629.440522,44128.17997149505,43498.73945,,62
62,21,9,618.2156793373774,279.505,,62,21,202.0,2000.0,629.4408179,47731.410376762375,47101.96956,,63
63,20,8,674.1636296284759,279.505,,63,18,202.0,2000.0,629.441477,46188.27403090099,45558.83255,,64
64,22,9,663.7662165105118,279.505,,64,22,161.6,2000.0,629.4422481,47086.35592131683,46456.91367,,65
65,18,8,11609.922817039505,279.505,,65,19,161.6,2000.0,629.4446231,61570.620565554455,60941.17594,,66
66,19,8,612.9178202527094,279.505,,66,23,201.99999999999997,3000.0,629.4699339,46314.93086741484,45685.46093,,67
67,23,9,59247.42474110891,279.505,,67,20,201.99999999999997,3000.0,660.9996329,673.9857715138614,12.98613861,,68
68,21,9,58916.47968369307,279.505,,68,18,202.0,2000.0,721.0073041,737.2753833673268,16.26807927,,69
69,22,9,58984.94949358416,279.505,,69,19,160.0,2000.0,723.6427101,736.9426624950494,13.2999524,,70
70,23,9,31759.081661870296,279.505,,70,20,201.99999999999997,3000.0,723.657712,723.7626624950494,0.104950495,,71
71,20,8,30545.21293993168,279.505,,71,18,202.0,2000.0,780.9942139,792.6533931871286,11.65917929,,72
72,21,9,47731.410376762375,279.505,,72,19,161.6,2000.0,781.004817,781.1097674950495,0.104950495,,73
73,18,8,34775.06701137524,279.505,,73,20,200.0,3000.0,781.0055219,789.8247674950495,8.819245595,,74
74,22,9,37140.66354068217,279.505,,74,18,202.0,2000.0,841.0069909,841.1119413950495,0.104950495,,75
75,19,8,34744.53704201089,279.505,,75,19,160.0,2000.0,841.00764,854.3069413950495,13.2993014,,76
76,20,8,44128.17997149505,279.505,,76,20,201.99999999999997,3000.0,841.011967,860.4752582267326,19.46329123,,77
77,18,8,46188.27403090099,279.505,,77,18,202.0,2000.0,901.0020511,913.5178926841585,12.51584158,,78
78,19,8,56207.47700119802,279.505,,78,19,160.8,2000.0,901.009083,15351.29695444103,14450.28787,,79
79,23,9,30545.84403810792,279.505,,79,20,200.0,3000.0,901.009105,1100.687493940594,199.6783889,,80
80,21,9,37133.77245157326,279.505,,80,21,203.0,2000.0,901.0092431,1128.4444794694582,227.4352364,,81
81,22,9,47086.35592131683,279.505,,81,18,204.0,2000.0,901.009364,15223.923820112672,14322.91446,,82
82,23,9,25486.905981826414,279.505,,82,22,162.39999999999998,2000.0,901.0095041,1119.9274295665025,218.9179255,,83
83,20,8,673.9857715138614,279.505,,83,19,161.6,2000.0,901.009869,1167.3733624257427,266.3634934,,84
84,18,8,737.2753833673268,279.51,,84,23,201.0,3000.0,902.011061,1062.4194519428581,160.4083909,,85
85,19,8,736.9426624950494,279.51,,85,20,201.99999999999997,3000.0,961.0008369,973.0463814544554,12.04554455,,86
86,20,8,723.7626624950494,279.51,,86,18,202.0,2000.0,1021.003088,1039.0577613366338,18.05467334,,87
87,18,8,792.6533931871286,279.51,,87,21,200.0,2000.0,1036.297134,1101.843996323383,65.54686232,,88
88,19,8,781.1097674950495,279.5125,,88,20,201.99999999999997,3000.0,1080.994057,1093.408115207921,12.41405821,,89
89,20,8,789.8247674950495,279.5125,,89,22,160.0,2000.0,1081.015788,1091.4707879999999,10.455,,90
90,18,8,841.1119413950495,279.515,,90,18,202.0,2000.0,1081.016036,1082.526927089109,1.510891089,,91
91,19,8,854.3069413950495,279.515,,91,23,201.99999999999997,3000.0,1141.000995,1159.1515649702972,18.15056997,,92
